d, a00, a01, a02, a10, a11, a12, a20, a21, a22
6,11,1289,641,1277,647,17,653,5,1283
6,11,2969,1481,2957,1487,17,1493,5,2963
6,11,7829,3911,7817,3917,17,3923,5,7823
6,13,739,367,727,373,19,379,7,733
6,13,1459,727,1447,733,19,739,7,1453
6,13,3319,1657,3307,1663,19,1669,7,3313
6,13,3739,1867,3727,1873,19,1879,7,3733
6,13,5419,2707,5407,2713,19,2719,7,5413
6,23,1109,557,1097,563,29,569,17,1103
6,23,1289,647,1277,653,29,659,17,1283
6,23,2969,1487,2957,1493,29,1499,17,2963
6,23,7829,3917,7817,3923,29,3929,17,7823
6,37,283,151,271,157,43,163,31,277
6,47,1913,971,1901,977,53,983,41,1907
6,53,659,347,647,353,59,359,47,653
6,103,1129,607,1117,613,109,619,97,1123
6,103,3469,1777,3457,1783,109,1789,97,3463
6,107,1193,641,1181,647,113,653,101,1187
6,157,4603,2371,4591,2377,163,2383,151,4597
6,157,5443,2791,5431,2797,163,2803,151,5437
6,173,359,257,347,263,179,269,167,353
6,173,2699,1427,2687,1433,179,1439,167,2693
6,263,2969,1607,2957,1613,269,1619,257,2963
6,263,7589,3917,7577,3923,269,3929,257,7583
6,373,1879,1117,1867,1123,379,1129,367,1873
6,373,4999,2677,4987,2683,379,2689,367,4993
6,593,1619,1097,1607,1103,599,1109,587,1613
6,593,4799,2687,4787,2693,599,2699,587,4793
6,613,2719,1657,2707,1663,619,1669,607,2713
6,1123,1789,1447,1777,1453,1129,1459,1117,1783
6,1123,2389,1747,2377,1753,1129,1759,1117,2383
6,1283,4649,2957,4637,2963,1289,2969,1277,4643
6,1367,1613,1481,1601,1487,1373,1493,1361,1607
6,1453,1879,1657,1867,1663,1459,1669,1447,1873
6,1453,3319,2377,3307,2383,1459,2389,1447,3313
6,1753,1999,1867,1987,1873,1759,1879,1747,1993
6,2287,3313,2791,3301,2797,2293,2803,2281,3307
6,2677,4603,3631,4591,3637,2683,3643,2671,4597
6,2963,5309,4127,5297,4133,2969,4139,2957,5303
6,2963,6329,4637,6317,4643,2969,4649,2957,6323
6,2963,7829,5387,7817,5393,2969,5399,2957,7823
6,3463,5569,4507,5557,4513,3469,4519,3457,5563
6,3923,6869,5387,6857,5393,3929,5399,3917,6863
6,4457,6323,5381,6311,5387,4463,5393,4451,6317
6,4513,6379,5437,6367,5443,4519,5449,4507,6373
6,5113,6379,5737,6367,5743,5119,5749,5107,6373
6,5413,6079,5737,6067,5743,5419,5749,5407,6073
6,5563,5749,5647,5737,5653,5569,5659,5557,5743
12,17,113,47,89,59,29,71,5,101
12,17,953,467,929,479,29,491,5,941
12,19,1471,727,1447,739,31,751,7,1459
12,19,2011,997,1987,1009,31,1021,7,1999
12,19,3571,1777,3547,1789,31,1801,7,3559
12,19,5431,2707,5407,2719,31,2731,7,5419
12,19,6091,3037,6067,3049,31,3061,7,6079
12,41,113,59,89,71,53,83,29,101
12,41,953,479,929,491,53,503,29,941
12,41,4253,2129,4229,2141,53,2153,29,4241
12,59,491,257,467,269,71,281,47,479
12,59,3371,1697,3347,1709,71,1721,47,3359
12,59,5531,2777,5507,2789,71,2801,47,5519
12,71,443,239,419,251,83,263,59,431
12,71,503,269,479,281,83,293,59,491
12,179,1451,797,1427,809,191,821,167,1439
12,179,2711,1427,2687,1439,191,1451,167,2699
